837,1079296,,
1426,,,40000
1674,,1079296,
1839,,14300,
2128,,14300,
2867,,14300,
3000,,14300,
3283,,14300,
3586,,14300,
3883,,14300,
4186,,14300,
4480,,14300,
4780,,14300,
5068,,14300,
5361,,14300,
5657,,14300,
5953,,14300,
6250,,14300,
6492,,14300,
6790,,14300,
7084,,14300,
7374,,14300,
7662,,14300,
7954,,14300,
8245,,14300,
8544,,14300,
8840,,14300,
9069,,14300,
9366,,14300,
9652,,14300,
9944,,14300,
10236,,14300,
10468,,14300,
10766,,14300,
11051,,14300,
11343,,14300,
11622,1079296,,
11662,,1079296,
11954,,1079296,
12167,,14170,
12253,,,40000
12460,,14040,
12760,,13910,
13056,,13780,
13345,,14170,
13434,,,40000
13641,,14820,
13937,,15340,
14224,,15470,
14252,,,40000
14522,,15351,
14762,,15600,
14791,,,40000
15055,,15600,
15082,,,40000
15348,,15480,
15374,,,40000
15638,,15738,
15666,,,40000
15931,,15867,
15960,,,40000
16166,,15996,
16252,,,40000
16460,,14625,
16488,,,40000
16752,,13104,
16782,,,40000
17040,,13230,
17068,,,40000
17273,,13440,
17359,,,40000
17559,,13780,
17644,,,40000
17701,1079296,,
17811,,1079296,
17930,,,40000
18077,,14124,
18223,,,40000
18374,,14364,
18523,,,40000
18667,,14364,
18811,,,40000
18961,,14388,
19111,,,40000
19257,,14520,
19398,,,40000
19547,,14520,
19691,,,40000
19837,,14652,
19978,,,40000
20123,,14763,
20265,,,40000
20411,,14896,
20554,,,40000
20702,,14896,
20842,,,40000
20988,,15029,
21130,,,40000
21218,,14916,
21420,,,40000
21509,,15048,
21711,,,40000
21803,,15295,
22002,,,40000
22090,,15428,
22236,,,40000
22381,,15428,
22524,,,40000
22670,,15561,
22814,,,40000
22958,,15561,
23102,,,40000
23250,,15827,
23394,,,40000
23540,,15827,
23677,1079296,,
23688,,,40000
23796,,1079296,
23917,,,40000
24055,,15960,
24194,,,40000
24340,,15960,
24486,,,40000
24575,,16093,
24782,,,40000
24869,,16104,
25072,,,40000
25162,,16359,
25364,,,40000
25450,,16368,
25651,,,40000
25741,,16625,
25883,,,40000
25971,,16625,
26174,,,40000
26262,,17018,
26460,,,40000
26546,,17145,
26747,,,40000
