934,23220,,
1545,,,3145728
1567,,,160000
1674,,796,
1936,,40,
2217,,20,
2684,,40,
2783,,48,
3064,,44,
3291,,16,
3571,,0,
3803,,0,
4095,,0,
4380,,20,
4672,,20,
4956,,132,
5236,,192,
5521,,400,
5809,,268,
6094,,320,
6379,,528,
6664,,356,
6899,,428,
7180,,512,
7280,1420,,
7480,,2824,
7552,,,8732
7750,,384,
7832,,,1020
8034,,172,
8327,,304,
8613,,184,
8847,,544,
8934,,,1644
9137,,688,
9163,,,2068
9420,,448,
9447,,,1772
9714,,180,
9742,,,1072
9952,,144,
9979,,,1848
10246,,172,
10275,,,4172
10546,,268,
10575,,,4236
10788,,228,
10873,,,4928
11084,,248,
11173,,,4728
11383,,204,
11469,,,7120
11614,,216,
11892,,1188,
12186,,960,
12328,,,5788
12417,,1204,
12620,,,4672
12709,,368,
12946,,92,
13240,,0,
13535,,80,
13743,,,1576
13831,,308,
13969,11960,,
14036,,,5172
14087,,7600,
14338,,,5968
14367,,308,
14577,,,5492
14668,,116,
14869,,,5276
14959,,104,
15169,,,1216
15198,,96,
15458,,,5468
15491,,8,
15731,,60,
15758,,,5540
16023,,20,
16051,,,5580
16320,,104,
16348,,,1956
16556,,60,
16638,,,5760
16850,,136,
16939,,,5940
17148,,144,
17232,,,1996
17437,,176,
17525,,,5840
17729,,116,
17759,,,5936
18019,,220,
18047,,,2356
18317,,88,
18344,,,6028
18547,,112,
18631,,,6248
18841,,60,
18931,,,6412
19082,,44,
19231,,,6520
19384,,112,
19521,,,6596
19613,,88,
19761,,,6284
19905,,412,
20041,6892,,
20049,,,6760
20158,,3692,
20341,,,6912
20429,,672,
20628,,,7584
20718,,488,
20923,,,6600
21012,,464,
21215,,,7272
21249,,520,
21512,,,5576
21542,,508,
21802,,,8100
21836,,512,
22068,,560,
22096,,,7840
22329,,,6576
22355,,640,
22589,,336,
22618,,,8432
22880,,576,
22909,,,8000
23171,,560,
23199,,,7800
23464,,732,
23492,,,8960
23697,,484,
23781,,,8296
23985,,616,
24074,,,6956
24285,,712,
24369,,,10188
24523,,944,
24672,,,6924
24822,,784,
24970,,,4120
25061,,608,
25265,,,6348
25357,,760,
25563,,,8964
25652,,788,
25867,,,7892
25897,,676,
26072,11932,,
26109,,,8692
26157,,3392,
26401,,,11704
26434,,376,
26671,,296,
26700,,,9228
26965,,128,
26991,,,11464
27266,,208,
27296,,,8332
27561,,148,
27590,,,11332
27866,,332,
27895,,,8132
28103,,224,
28190,,,8328
28398,,1380,
28489,,,8668
28695,,896,
28777,,,8644
28929,,584,
29071,,,7644
29217,,708,
29362,,,9064
29510,,748,
29655,,,7264
29802,,1020,
29947,,,8764
30097,,792,
30241,,,8716
30389,,708,
30534,,,10016
30620,,748,
30823,,,8992
30908,,784,
31107,,,9100
31195,,748,
31394,,,8292
31481,,852,
31621,,,9412
31760,,804,
31903,,,11212
31986,25288,,
32010,,7156,
32195,,,9580
32302,,264,
32420,,,9240
32561,,296,
32699,,,10236
32843,,272,
32984,,,10264
33124,,388,
33209,,,9236
33347,,88,
33483,,,10200
33622,,100,
33759,,,9884
33894,,196,
34032,,,9568
34170,,160,
34307,,,9392
34446,,92,
34581,,,8988
34721,,148,
34859,,,8664
35000,,92,
35136,,,9152
35276,,344,
35414,,,9468
35549,,956,
35689,,,12340
35830,,1648,
35967,,,9332
36104,,892,
36241,,,11820
36327,,892,
36521,,,10340
36603,,944,
36795,,,11896
36880,,464,
37073,,,12040
37156,,660,
37352,,,12248
37438,,736,
37640,,,11108
37694,23492,,
37748,,8664,
37921,,,11184
38027,,84,
38210,,,11020
38239,,40,
38503,,,10948
38538,,88,
38798,,,11004
38825,,968,
39061,,368,
39089,,,11320
39359,,416,
39385,,,12324
39589,,188,
39675,,,13240
39878,,164,
39964,,,11388
40169,,132,
40196,,,13164
40402,,276,
40487,,,13456
40694,,360,
40783,,,13400
40989,,224,
41018,,,11588
41283,,192,
41310,,,12844
41570,,128,
41596,,,11116
41855,,216,
41882,,,12772
42115,,,9076
42148,,328,
42412,,,9036
42440,,240,
42676,,320,
42703,,,9088
42972,,272,
42999,,,9532
43237,,,7460
43265,,212,
43503,,136,
43532,26620,,
43535,,,9324
43818,,6968,
43830,,,9424
44089,,372,
44117,,,10656
44327,,144,
44416,,,11528
44625,,336,
44713,,,12788
44918,,160,
45008,,,9768
45222,,156,
45309,,,11716
45517,,132,
45606,,,9808
45809,,76,
45896,,,11444
46104,,52,
46195,,,12416
46346,,64,
46438,,,8844
46647,,64,
46732,,,9908
46936,,80,
46965,,,6068
47233,,60,
47262,,,8508
47527,,72,
47557,,,7504
47828,,156,
47856,,,6812
48125,,864,
48154,,,5976
48422,,580,
48452,,,7512
48718,,624,
48748,,,7824
49016,,528,
49045,,,7852
49256,,528,
49284,,,6772
49548,,1132,
49577,,,7232
49607,10796,,
49860,,5804,
49872,,,8752
50139,,360,
50167,,,9016
50409,,,11760
50443,,264,
50712,,,7632
50742,,364,
51004,,,14108
51036,,436,
51304,,,11136
51333,,276,
51591,,,11044
51623,,340,
51890,,,12596
51920,,248,
52126,,,9836
52215,,368,
52418,,,9884
52507,,552,
52710,,,9264
52740,,336,
53002,,,9000
53036,,348,
53241,,,8272
53330,,208,
53530,,,8496
53619,,432,
53822,,,8536
53906,,616,
54108,,,8328
54196,,716,
54399,,,11412
54486,,604,
54630,,,8132
54719,,504,
54924,,,7484
55009,,816,
55205,,,7740
55293,,556,
55493,,,9112
55525,13860,,
55541,,6440,
55784,,,7212
55831,,108,
56014,,,6640
56103,,140,
56306,,,6892
56335,,104,
56535,,,6240
56619,,220,
56818,,,6380
56903,,240,
57099,,,6080
57129,,132,
57331,,,5540
57416,,136,
57616,,,6848
57698,,196,
57896,,,5492
57981,,140,
58121,,,5112
58265,,112,
58406,,,5236
58492,,208,
58695,,,5032
58780,,196,
58977,,,5052
59065,,192,
59262,,,5808
59348,,452,
59493,,,5396
59633,,932,
59768,,,5900
59853,,480,
60050,,,4776
60134,,564,
60328,,,4708
60359,,296,
60555,,,4252
60639,,568,
60836,,,4608
60921,,532,
61063,,,4204
61205,,404,
61274,16196,,
61348,,,4640
61505,,2732,
61574,,,4140
61774,,172,
61860,,,4476
62055,,184,
62135,,,4380
62328,,32,
62410,,,4028
62605,,264,
62689,,,4388
62881,,244,
62966,,,4416
